crossover_type,crossover_rate,mutation_type,mutation_rate,mutation_std_dev,selection_type,selection_size,distance,case_study,CA_size,population_size,input_locations,input_order,input_percentage,steps,sort_rules,chromosome_evol,input_loc_evol,output_loc_evol,growth_rate_mean_fitness_training,growth_rate_mean_fitness_control,growth_rate_best_fitness_training,growth_rate_best_fitness_control
none,0.9557720137791337,bit_flip,0.17931889479488083,,roulette,,manhattan,number_plus_one,20,19,evenly_distributed,random,0.7005297832288995,26,big_average_big_std,no,no,yes,-0.0004944475061254276,-0.0005588748532733609,-0.0011869817852386043,-0.001382300477253118
none,0.4762604115145015,bit_flip,0.5887327258443015,,tournament,4,manhattan,number_plus_one,25,17,random,random,0.9899051797901928,28,big_average_low_std,no,no,no,6.563561385713022e-05,-1.531998263874341e-06,0.0,-4.396686516979797e-05
none,0.3515446686452943,bit_flip,0.46135704361392993,,roulette,,manhattan,number_divided_by_two,25,13,evenly_distributed,random,0.7547382126735444,29,equal_behaviour,yes,no,no,-5.85706905288205e-06,-3.697275689070798e-05,-7.809337352239373e-05,-9.936869498700748e-05
uniform,0.7644701718838749,gaussian,,5.142204345501807,tournament,6,manhattan,number_plus_one,15,19,evenly_distributed,random,0.6291438546697653,26,different_behaviour,no,no,no,0.0008758152660743291,0.000285251626480475,0.0,-0.00011392483437557958
none,0.7901431735502039,bit_flip,0.5822803251290917,,tournament,7,hamming,number_divided_by_two,15,13,random,random,0.38701855674661745,21,different_behaviour,no,no,no,0.0016076769690927196,0.00048087431693989073,0.0,-0.0013773584905660378
uniform,0.2463461207524491,bit_flip,0.48140922382350326,,tournament,4,hamming,number_plus_one,15,15,random,ordered,0.43300630219161174,26,big_average_low_std,no,no,no,0.0007857651146241729,0.0001645624667803306,0.0,-0.00043043812451960036
uniform,0.9278398736052197,bit_flip,0.03556127641905127,,tournament,6,euclidean,number_divided_by_two,20,18,evenly_distributed,random,0.6356697672231765,19,equal_behaviour,no,no,no,0.00022621809641007085,-9.044704837542249e-06,0.0,-0.0001008711117207095
none,0.36733547042638004,bit_flip,0.0068009242122859526,,tournament,7,manhattan,number_plus_one,10,10,random,ordered,0.2973463695915274,15,low_average_low_std,yes,yes,yes,-5.61201274078559e-05,-0.00011063306699446844,-0.001086956521739131,-0.0008045977011494251
single_point,0.7331366287562568,bit_flip,0.2866795751546425,,roulette,,hamming,number_plus_one,10,18,random,random,0.9557850193689578,20,different_behaviour,yes,no,no,0.00046061539308231696,0.00025566497558414733,0.0008933891107308104,0.00047327074152136387
none,0.5724141944749531,bit_flip,0.6026165575181907,,tournament,6,euclidean,number_plus_one,25,19,random,ordered,0.07145536131324748,20,different_behaviour,yes,no,yes,-0.0011974894833855108,-0.0005048869289842947,-0.008520906652415857,-0.008266669171600034
none,0.5177390457909874,bit_flip,0.014229307001104585,,roulette,,euclidean,number_plus_one,25,10,random,random,0.3316567788958158,20,different_behaviour,no,no,no,8.292156867864052e-05,0.00016649236094880092,-0.00029042046426612245,-0.00015576585713623166
uniform,0.3893541351739004,bit_flip,0.5118600684814829,,roulette,,euclidean,number_plus_one,15,15,random,random,0.2511401409032119,16,random,yes,no,no,0.0008476355807181347,-5.708008994100008e-05,0.0008154231008441278,-0.0013227744050158935
single_point,0.47616628856515175,bit_flip,0.12229803642597592,,roulette,,manhattan,number_divided_by_two,15,18,evenly_distributed,random,0.12460591646444308,18,equal_behaviour,no,no,no,0.0004498816101026051,0.00017553052135184594,-0.0009009009009009016,-0.0043678160919540234
single_point,0.45470117996651505,gaussian,,8.864947341218542,roulette,,hamming,number_plus_one,25,14,random,ordered,0.4125306540820294,26,big_average_big_std,no,no,no,2.7262026384756018e-05,-0.00020436534293543553,-0.00031082357195957514,-0.000614231755842372
none,0.32243463512282844,bit_flip,0.9854451574615158,,roulette,,hamming,number_plus_one,20,13,evenly_distributed,random,0.2669028812366867,11,big_average_big_std,no,no,no,0.0006650159179342043,0.001420031718921556,-0.0003045685279187815,0.0
uniform,0.5184241666086113,bit_flip,0.035186090612706944,,tournament,3,hamming,number_divided_by_two,10,13,random,ordered,0.415363414796478,26,low_average_low_std,yes,no,no,0.0033021832531399077,0.0016995316505871816,0.0013212483154083998,-0.00017828489926903263
single_point,0.8166247394416309,bit_flip,0.02906034032151983,,roulette,,euclidean,number_plus_one,15,12,random,random,0.35415126649117434,29,low_average_low_std,no,no,yes,0.00040976819877469145,-0.00014919090068910514,-0.0010143301120128603,-0.0009519752266289791
none,0.37069167706637385,gaussian,,6.841658840911461,tournament,6,manhattan,number_divided_by_two,25,16,evenly_distributed,random,0.6560548164192814,27,different_behaviour,no,no,no,0.0001413945988681273,-1.1264772961615345e-05,0.0,-0.00012319965132845875
uniform,0.28595846256462587,bit_flip,0.11378047686099435,,tournament,6,hamming,number_divided_by_two,15,12,random,random,0.7620343471929127,10,big_average_low_std,yes,no,no,2.6312822566717277e-05,0.000245980988852386,1.5631321974513423e-05,7.959366364379371e-05
single_point,0.6609780360325824,bit_flip,0.07008802585324458,,roulette,,euclidean,number_plus_one,25,19,evenly_distributed,ordered,0.3073674726600524,18,low_average_low_std,no,yes,no,-0.0007771590028433686,-0.0010208958394990315,-0.003868436156385666,-0.003956626978480159
uniform,0.020865831720356942,bit_flip,0.9777201534969561,,tournament,2,hamming,number_plus_one,15,12,random,ordered,0.7717144719750756,24,big_average_low_std,no,no,no,0.0002089844278430901,-0.00018619425214898817,0.0,-0.0003856790881718603
uniform,0.9269019548435136,bit_flip,0.12093753714927857,,roulette,,euclidean,number_divided_by_two,20,13,evenly_distributed,random,0.6353482969701943,23,big_average_big_std,yes,no,no,8.01880233919026e-05,-5.28445426066178e-05,-0.00012162361602012,-0.00024206584398176457
none,0.3542380889182294,bit_flip,0.30371801989575364,,tournament,6,hamming,number_divided_by_two,10,11,evenly_distributed,random,0.6104882824830048,17,low_average_low_std,yes,no,yes,5.6692989468166146e-05,-0.0006182669238944258,-0.001328403606644298,-0.005048043882995338
